Description,Quantity,Vendor,Vendor Part #,Supplier,Supplier Part #
Temperature probe jack,3,CUI Inc.,MJ-2508N,Digikey,CP-2508N-ND
Blower,1,Delta Electronics,BFB0512VHD-SP01,Digikey,603-1244-ND
